function,filename,rank,start,end,size,offset
pwrite,/mnt/beegfs/btio.full.out,0,15506.105308,15535.230728,16777216,{'offset': 0}
pwrite,/mnt/beegfs/btio.full.out,0,15553.259346,15581.383588,16777216,{'offset': 16777216}
pwrite,/mnt/beegfs/btio.full.out,0,15599.488162,15627.443052,16777216,{'offset': 33554432}
pwrite,/mnt/beegfs/btio.full.out,0,15645.379698,15673.526108,16777216,{'offset': 50331648}
pwrite,/mnt/beegfs/btio.full.out,0,15691.4631,15719.432944,16777216,{'offset': 67108864}
pwrite,/mnt/beegfs/btio.full.out,0,15737.891328,15765.603392,16777216,{'offset': 83886080}
pwrite,/mnt/beegfs/btio.full.out,0,15783.458082,15811.315756,16777216,{'offset': 100663296}
pwrite,/mnt/beegfs/btio.full.out,0,15829.145254,15857.276592,16777216,{'offset': 117440512}
pwrite,/mnt/beegfs/btio.full.out,0,15875.391702,15902.994708,16777216,{'offset': 134217728}
pwrite,/mnt/beegfs/btio.full.out,0,15921.051858,15949.030768,16777216,{'offset': 150994944}
pwrite,/mnt/beegfs/btio.full.out,0,15951.647474,15955.776932,2288960,{'offset': 167772160}
MPI_File_write_at_all,/mnt/beegfs/btio.full.out,2,15476.004682,15956.324072,42515280,{'offset': 0}
MPI_File_write_at_all,/mnt/beegfs/btio.full.out,3,15478.136466,15956.324166,42515280,{'offset': 0}
MPI_File_write_at_all,/mnt/beegfs/btio.full.out,1,15475.211562,15956.336916,42515280,{'offset': 0}
pwrite,/mnt/beegfs/btio.full.out,0,26325.877308,26354.429102,16777216,{'offset': 170061120}
pwrite,/mnt/beegfs/btio.full.out,0,26372.975044,26400.928112,16777216,{'offset': 186838336}
pwrite,/mnt/beegfs/btio.full.out,0,26418.846204,26446.610696,16777216,{'offset': 203615552}
pwrite,/mnt/beegfs/btio.full.out,0,26464.434976,26492.27662,16777216,{'offset': 220392768}
pwrite,/mnt/beegfs/btio.full.out,0,26510.110294,26538.066732,16777216,{'offset': 237169984}
pwrite,/mnt/beegfs/btio.full.out,0,26556.045946,26584.114914,16777216,{'offset': 253947200}
pwrite,/mnt/beegfs/btio.full.out,0,26601.861184,26629.795266,16777216,{'offset': 270724416}
pwrite,/mnt/beegfs/btio.full.out,0,26647.47742,26675.97512,16777216,{'offset': 287501632}
pwrite,/mnt/beegfs/btio.full.out,0,26694.022516,26722.402656,16777216,{'offset': 304278848}
pwrite,/mnt/beegfs/btio.full.out,0,26740.417828,26768.763196,16777216,{'offset': 321056064}
pwrite,/mnt/beegfs/btio.full.out,0,26771.332148,26775.401128,2288960,{'offset': 337833280}
MPI_File_write_at_all,/mnt/beegfs/btio.full.out,1,26301.499971,26776.037221,42515280,{'offset': 1062882}
MPI_File_write_at_all,/mnt/beegfs/btio.full.out,3,26303.199807,26776.037721,42515280,{'offset': 1062882}
MPI_File_write_at_all,/mnt/beegfs/btio.full.out,2,26301.49498,26776.038498,42515280,{'offset': 1062882}
pwrite,/mnt/beegfs/btio.full.out,0,37103.28817,37132.259936,16777216,{'offset': 340122240}
pwrite,/mnt/beegfs/btio.full.out,0,37150.729122,37179.217342,16777216,{'offset': 356899456}
pwrite,/mnt/beegfs/btio.full.out,0,37196.982468,37225.441412,16777216,{'offset': 373676672}
pwrite,/mnt/beegfs/btio.full.out,0,37243.53904,37271.735546,16777216,{'offset': 390453888}
pwrite,/mnt/beegfs/btio.full.out,0,37289.39011,37318.071436,16777216,{'offset': 407231104}
pwrite,/mnt/beegfs/btio.full.out,0,37335.927428,37364.51316,16777216,{'offset': 424008320}
pwrite,/mnt/beegfs/btio.full.out,0,37382.6752,37410.819142,16777216,{'offset': 440785536}
pwrite,/mnt/beegfs/btio.full.out,0,37429.244868,37457.743944,16777216,{'offset': 457562752}
pwrite,/mnt/beegfs/btio.full.out,0,37475.496622,37503.796582,16777216,{'offset': 474339968}
pwrite,/mnt/beegfs/btio.full.out,0,37521.625904,37549.807516,16777216,{'offset': 491117184}
pwrite,/mnt/beegfs/btio.full.out,0,37552.483408,37556.67803,2288960,{'offset': 507894400}
MPI_File_write_at_all,/mnt/beegfs/btio.full.out,1,37079.742376,37557.293518,42515280,{'offset': 2125764}
MPI_File_write_at_all,/mnt/beegfs/btio.full.out,2,37079.931665,37557.295752,42515280,{'offset': 2125764}
MPI_File_write_at_all,/mnt/beegfs/btio.full.out,3,37081.714367,37557.295795,42515280,{'offset': 2125764}
pwrite,/mnt/beegfs/btio.full.out,0,47907.682212,47936.70219,16777216,{'offset': 510183360}
pwrite,/mnt/beegfs/btio.full.out,0,47954.807158,47983.149226,16777216,{'offset': 526960576}
pwrite,/mnt/beegfs/btio.full.out,0,48001.206356,48029.302042,16777216,{'offset': 543737792}
pwrite,/mnt/beegfs/btio.full.out,0,48047.021632,48075.138016,16777216,{'offset': 560515008}
pwrite,/mnt/beegfs/btio.full.out,0,48092.826922,48121.082918,16777216,{'offset': 577292224}
pwrite,/mnt/beegfs/btio.full.out,0,48138.773414,48167.113784,16777216,{'offset': 594069440}
pwrite,/mnt/beegfs/btio.full.out,0,48185.21495,48213.375084,16777216,{'offset': 610846656}
pwrite,/mnt/beegfs/btio.full.out,0,48231.493712,48259.732078,16777216,{'offset': 627623872}
pwrite,/mnt/beegfs/btio.full.out,0,48277.28211,48305.663482,16777216,{'offset': 644401088}
pwrite,/mnt/beegfs/btio.full.out,0,48323.315286,48351.726368,16777216,{'offset': 661178304}
pwrite,/mnt/beegfs/btio.full.out,0,48353.990886,48358.16263,2288960,{'offset': 677955520}
MPI_File_write_at_all,/mnt/beegfs/btio.full.out,3,47885.847956,48358.906814,42515280,{'offset': 3188646}
MPI_File_write_at_all,/mnt/beegfs/btio.full.out,2,47884.122121,48358.907211,42515280,{'offset': 3188646}
